school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M
comm37,274,153,0,198,100,0.66442953020134232,2.4797979797979797,2.6800000000000002,7,8,0.6985743380855397,0.41791044776119407,0.69857433808553981,0.69857433808553981,0.41791044778747838,0.41646687833445528,0.0,0.057737628567568235,0.8997360348179099,0.2856403740146153
comm38,272,269,1,247,230,0.51781970649895182,4.5870445344129553,4.5608695652173914,9,10,0.62047661076787297,0.58627264061010487,0.62047661076787308,0.62108144756865646,0.58627264061010476,0.58858048228088344,0.002811877190912927,0.013437877504685617,0.4493695990290748,0.3281345293721236
comm39,526,476,6,495,386,0.56186152099886488,5.1191919191919188,4.9352331606217614,10,10,0.64996053670086817,0.52073490813648293,0.64996053670086784,0.64996053670086784,0.52073490813202661,0.52230852994373123,0.0,0.0113381080686213,0.9839529171660946,0.3153528680882878
comm4,159,132,0,140,102,0.57851239669421484,4.9642857142857144,5.3235294117647056,9,10,0.65035971223021583,0.47513812154696133,0.6503597122302156,0.6503597122302156,0.47513812154715068,0.47513812154715068,0.0,0.0,0.9180913683195089,0.8940870427620827
comm40,976,1045,16,913,886,0.50750416898276818,5.3745892661555308,5.3544018058690748,10,10,0.60790707153046675,0.55122259696458675,0.60790707153046697,0.60790707153046697,0.55122259690624664,0.55122259690624664,0.0,0.0,0.9995119941326185,0.9981119458675333
comm41,1142,941,17,1038,734,0.58577878103837466,5.2861271676300579,5.0204359673024523,10,10,0.63276836158192085,0.51207598371777474,0.63276836158192018,0.63276836158192018,0.5120759837175739,0.51424434804033214,0.0,0.016808587413688784,0.9999760637934283,0.17049120510767846
comm42,828,665,21,658,339,0.65997993981945835,4.3145896656534957,4.1887905604719764,10,10,0.69249735822472702,0.43521126760563378,0.69249735822472624,0.69249735822472624,0.43521126760591455,0.43845087912618741,0.0,0.10280782543627404,0.7773329875756139,0.001716976812114912
comm43,890,819,14,732,575,0.56006120887528688,4.1010928961748636,4.0486956521739135,10,10,0.64157228514323783,0.53823024054982815,0.64157228514323672,0.64157228514323672,0.53823024054701352,0.53823024054701352,0.0,0.0,0.7939432909992886,0.7763285088780019
comm44,564,576,7,521,499,0.51078431372549016,5.7907869481765832,5.565130260521042,10,10,0.60556844547563804,0.55959668707238019,0.60556844547563793,0.60556844547563793,0.55959668707237997,0.55959668707237997,0.0,0.0,0.8560034235872731,0.504261022076574
comm45,508,533,6,346,270,0.56168831168831168,4.1127167630057802,3.8518518518518516,10,10,0.61068165846802536,0.51923076923076927,0.61068165846802513,0.61068165846802513,0.51923076922905331,0.51923076922905331,0.0,0.0,0.943669131708805,0.5842530919107707
comm46,742,800,8,677,650,0.51017332328560661,4.8552437223042837,4.8692307692307688,10,10,0.61119561910556741,0.53270142180094793,0.61119561910556752,0.61119561910556752,0.53270142179525126,0.53270142179525126,0.0,0.0,0.998980403157211,0.8550665528841708
comm47,486,495,17,456,397,0.53458382180539277,5.6403508771929829,5.6322418136020147,10,10,0.64152410575427676,0.52415026833631495,0.64152410575427654,0.64152410575427654,0.52415026833156309,0.52516795186127718,0.0,0.007614597295187316,0.9972477657941285,0.35005781237014333
comm48,588,592,4,541,531,0.50466417910447758,5.478743068391867,5.3239171374764593,10,10,0.62145748987854255,0.54545454545454553,0.62145748987854232,0.62145748987854232,0.54545454545454541,0.54545454545454541,0.0,0.0,0.9990258127238884,0.7263767483567531
comm49,954,966,9,859,748,0.53453640323584317,5.0221187427240981,4.7887700534759361,10,10,0.63467779323133977,0.5795644891122278,0.63467779323133944,0.63467779323133944,0.57956448911222802,0.58214185757586401,0.0,0.012746784250418156,0.998830893154443,0.2307768485367716
comm5,76,82,1,73,75,0.49324324324324326,6.3150684931506849,5.9733333333333336,10,10,0.54446854663774402,0.5513392857142857,0.54446854663773248,0.54446854663773248,0.5513392857142857,0.5513392857142857,0.0,0.0,0.985968309326041,0.7114911694645536
comm50,1311,1262,14,1223,1064,0.53476169654569305,5.2420278004905967,5.1390977443609023,10,10,0.62486351583216349,0.54700073152889539,0.62486351583216371,0.62486351583216371,0.54700073142702454,0.54700073142702454,0.0,0.0,0.99954574835992,0.9343069738630262
comm51,356,407,27,243,206,0.54120267260579069,3.3292181069958846,2.8689320388349513,9,9,0.66254635352286784,0.59729272419627755,0.6625463535228675,0.6625463535228675,0.59729272416731782,0.60768007759633313,0.0,0.08977382187079955,0.797978396160411,0.09131441431095277
comm52,1061,726,12,864,531,0.61935483870967745,3.8518518518518516,4.463276836158192,10,10,0.65504807692307698,0.50970464135021099,0.65504807692307643,0.65504807692307643,0.50970464135018534,0.50970464135018534,0.0,0.0,0.9810836780965142,0.9418122915700883
comm53,331,306,10,231,197,0.53971962616822433,3.3679653679653678,3.3502538071065988,9,9,0.66195372750642678,0.56363636363636371,0.66195372750642656,0.66436626069774329,0.56363636360202818,0.56363636360202818,0.02247979131412557,0.0,0.30986084211819165,0.5024486492841418
comm54,593,507,8,453,363,0.55514705882352944,3.76158940397351,3.7768595041322315,10,10,0.66079812206572763,0.55506929248723569,0.66079812206572719,0.66079812206572719,0.55506929244689318,0.56010151356496352,0.0,0.06307296580010414,0.740593401604988,0.04138109260613598
comm55,188,164,5,158,103,0.6053639846743295,3.2721518987341773,3.0679611650485437,9,9,0.74274661508704065,0.68354430379746833,0.74274661508703121,0.74912240822609455,0.68354430379746833,0.69433320594638948,0.04406394250027995,0.12626851081924934,0.19622478269543742,0.06527013317464048
comm56,236,224,7,182,152,0.54491017964071853,3.9395604395604398,3.7434210526315788,9,9,0.64993026499302642,0.65377855887521963,0.64993026499302609,0.65086542866159591,0.65377855887521941,0.6676314817114718,0.00509640522901113,0.07919381033819646,0.43982199506302,0.06754550538064574
comm57,653,620,9,521,425,0.55073995771670192,3.9385796545105567,3.7529411764705882,10,10,0.62962962962962965,0.54357366771159876,0.62962962962963009,0.62962962962963009,0.54357366771017979,0.54357366771017979,0.0,0.0,0.950086545816417,0.9096320058875397
comm58,875,889,14,724,679,0.51603706343549538,4.3977900552486187,4.1620029455081005,10,10,0.63787688442211055,0.57572540693559793,0.63787688442211188,0.63787688442211188,0.57572540693559804,0.57746098235999255,0.0,0.010803791824307052,0.8627184864265403,0.29474052918466054
comm59,529,472,6,463,338,0.57802746566791507,4.6133909287257016,4.2189349112426031,10,10,0.6544943820224719,0.5596072931276298,0.65449438202247212,0.65449438202247212,0.55960729304645129,0.56203223711005834,0.0,0.012765101143415562,0.7035317243811425,0.320446557988892
comm6,56,55,0,42,40,0.51219512195121952,4.4761904761904763,4.5250000000000004,9,8,0.54255319148936165,0.574585635359116,0.54255319146833003,0.54398415744201123,0.574585635359116,0.574585635359116,0.012613186124553658,0.0,0.42383856347794957,0.8938888701959087
comm60,607,603,6,511,447,0.53340292275574108,4.3698630136986303,4.2841163310961967,10,10,0.62695924764890276,0.5415143603133159,0.62695924764890254,0.62695924764890254,0.54151436027539435,0.54151436027539435,0.0,0.0,0.9912569326009875,0.5224527376661579
comm61,943,942,13,665,573,0.53715670436187402,3.3593984962406016,3.3193717277486909,9,9,0.7081468218442255,0.59779179810725558,0.70814682184422095,0.70911997540198279,0.59779179810725536,0.60431739343856727,0.0077924733276583304,0.045782348912691305,0.37792212661701774,0.06587511038188898
comm62,554,549,8,461,372,0.55342136854741897,3.3036876355748372,3.2876344086021505,9,9,0.69796454366382144,0.6451349141455438,0.6979645436638201,0.70070614490901362,0.64513491414554369,0.664984502546067,0.016695747043213444,0.13209235653678997,0.29177806208099366,0.0008053340265529174
comm63,50,48,2,41,31,0.56944444444444442,3.8292682926829267,4.096774193548387,9,9,0.67515923566878988,0.48818897637795278,0.67515923566878955,0.67515923566878955,0.48818897637797254,0.48818897637797254,0.0,0.0,0.8001362502687679,0.9838569786924085
comm64,360,348,2,322,280,0.53488372093023251,5.2142857142857144,5.3285714285714283,10,10,0.62060750446694457,0.54691689008042899,0.62060750446694446,0.62060750446694446,0.54691688998156629,0.54691688998156629,0.0,0.0,0.9779860696116419,0.5038305069575517
